n,metodo,tempo_us
100000,selecao,2410849
100000,insercao,48
100000,merge,3688
10000,selecao,24066
10000,insercao,5
10000,merge,346
20000,selecao,96179
20000,insercao,11
20000,merge,643
30000,selecao,215806
30000,insercao,17
30000,merge,1071
40000,selecao,390443
40000,insercao,19
40000,merge,1367
50000,selecao,599272
50000,insercao,32
50000,merge,1859
60000,selecao,862426
60000,insercao,28
60000,merge,2123
70000,selecao,1180796
70000,insercao,33
70000,merge,2738
80000,selecao,1546884
80000,insercao,38
80000,merge,2971
90000,selecao,1945331
90000,insercao,43
90000,merge,3345
